player,avg_points,line_quality,team_quality,team,match_cnt,raw_score,power_rank,power_rank_pct,opponent_strength
eric_gaaserud,0.7131782945736433,0.5997304582210243,0.7272727272727273,Tokeneke 2,7,0.6448624444845718,197.0,77.0,0.39021049885121295
scott_hapgood,0.6744186046511628,0.9905660377358492,0.2727272727272727,CC of Darien 2,2,0.6439724589300199,196.0,77.0,0.585502831629148
dave_koch,0.689922480620155,0.4402515723270441,0.8181818181818182,Wilton Riding,6,0.6370248835436418,195.0,76.0,0.49915392775199713
tim_dodman,0.8604651162790697,0.0,0.9999999999999999,Lake Club 2,2,0.6357039300696743,194.0,76.0,0.3232975182939531
dan_hage,0.9302325581395349,0.0,0.8181818181818182,Wilton Riding,1,0.6321668919971355,193.0,76.0,0.33283918131987456
jan_lennertz,0.7441860465116279,0.6792452830188678,0.4545454545454545,Rowayton 2,5,0.6317986322036893,192.0,75.0,0.4677117584039481
dan_murphy,0.537467700258398,0.7547169811320755,0.7272727272727273,Tokeneke 2,3,0.631139828379229,191.0,75.0,0.6192094772132618
david_magrone,0.669250645994832,0.5660377358490567,0.7272727272727273,Tokeneke 2,6,0.6310253227217218,190.0,75.0,0.4746695959979381
steve_willliams,0.6453488372093024,0.7075471698113207,0.5454545454545454,Four Seasons 3,8,0.6247711521001145,189.0,74.0,0.558425548685034
david_gunnip,0.8837209302325582,0.0,0.9090909090909091,Roxbury 2,1,0.6211681799898946,188.0,74.0,0.27783719711374383
rich_bienen,0.6511627906976745,0.7075471698113207,0.4545454545454545,Rowayton 2,2,0.620246738940999,187.0,73.0,0.6320330550379366
kevin_gregory,0.9767441860465116,0.2830188679245283,0.36363636363636365,Roton Point 2,1,0.6145913944180728,186.0,73.0,0.3048364292330944
wright_ferguson,0.6511627906976745,0.5283018867924529,0.7272727272727273,Tokeneke 2,5,0.614186854593821,185.0,73.0,0.46699117311221033
joe_cappiello,0.5736434108527132,0.7704402515723272,0.5454545454545454,Four Seasons 3,9,0.6088179380201649,184.0,72.0,0.5833296248737962
john_hutchins,0.48062015503875966,0.8490566037735849,0.6363636363636364,New Canaan FC 2,3,0.6064059035356069,183.0,72.0,0.6202852382714713
brad_scholtz,0.6744186046511628,0.8490566037735849,0.1818181818181818,Middlesex 2,4,0.6052168248273653,182.0,71.0,0.6370233041065917
gordon_hough,0.43410852713178294,0.8490566037735849,0.7272727272727273,Tokeneke 2,1,0.6025388988890663,181.0,71.0,0.6128279698033428
jp_peter,0.5647840531561462,0.5862533692722371,0.7272727272727273,Tokeneke 2,7,0.6004302668851657,180.0,71.0,0.5571481577060465
peter_harned,0.7093023255813953,0.9433962264150944,0.0,Woodway 2,4,0.5995650368450339,179.0,70.0,0.6113316336692475
tim_davenport,0.5064599483204134,0.8018867924528301,0.6363636363636364,New Canaan FC 2,3,0.5971675592032657,178.0,70.0,0.5440699779719087
mark_noonan,0.4108527131782946,0.8490566037735849,0.6363636363636364,New Canaan FC 2,4,0.5926413410000305,177.0,69.0,0.7378238136156905
brian_rondeau,0.7441860465116279,0.0,0.9999999999999999,Lake Club 2,1,0.590623803302884,176.0,69.0,0.3716005491510099
jose_lievano,0.6976744186046512,0.09433962264150947,0.9090909090909091,Roxbury 2,3,0.5903261188933359,175.0,69.0,0.5045768278317276
steven_trepp,0.6449612403100775,0.33962264150943405,0.7272727272727273,Tokeneke 2,5,0.5890909826774928,174.0,68.0,0.5698623385435035
jim_arliss,0.7751937984496124,0.0,0.6363636363636364,New Canaan FC 2,1,0.5828706511100791,173.0,68.0,0.7117380969001745
david_tatkow,0.9302325581395349,0.0,0.5454545454545454,Four Seasons 3,1,0.5826093731301607,172.0,67.0,0.36609208584307307
jose_zepeda,0.7984496124031008,0.5660377358490567,0.36363636363636365,Roton Point 2,2,0.5823559365041375,171.0,67.0,0.24745860683772047
greg_macdonald,0.5674418604651162,0.9056603773584906,0.2727272727272727,CC of Darien 2,5,0.5806586759432855,170.0,67.0,0.5975487247788696
dzuy-thanh_luong,0.5064599483204134,0.8490566037735849,0.4545454545454545,Rowayton 2,9,0.5803863322349363,169.0,66.0,0.611726292179616
ed_canaday,0.6031007751937985,0.4316037735849056,0.7272727272727273,Tokeneke 2,10,0.5800834264171958,168.0,66.0,0.5127518493897321
james_pratt-heaney,0.5496828752642706,0.701114922813036,0.5454545454545454,Four Seasons 3,11,0.5799091831401033,167.0,65.0,0.5549199707844348
tim_henn,0.5142118863049095,1.0,0.2727272727272727,CC of Darien 2,6,0.5748377626312885,166.0,65.0,0.5926463949908306
dan_mahlstedt,0.4599483204134367,0.8176100628930818,0.5454545454545454,Four Seasons 3,9,0.5730359473230867,165.0,65.0,0.6229752097834316
matt_miller,0.537467700258398,0.5765199161425576,0.6363636363636364,New Canaan FC 2,9,0.5715330693239041,164.0,64.0,0.5806392913759083
fred_schweizer,0.6201550387596899,0.7075471698113207,0.36363636363636365,Roton Point 2,7,0.5694112278880132,163.0,64.0,0.5073650250441057
sergey_chernysh,0.4673311184939092,0.9097035040431267,0.4545454545454545,Rowayton 2,7,0.5679686418659103,162.0,64.0,0.5654656455062333
jay_bennett,0.6325581395348837,0.33962264150943405,0.7272727272727273,Tokeneke 2,5,0.5664276574432345,161.0,63.0,0.4559828059740302
mike_meyer,0.5581395348837209,0.8490566037735849,0.2727272727272727,CC of Darien 2,1,0.5660194529764517,160.0,63.0,0.6033325798573714
steve_hansen,0.5503875968992248,0.9905660377358492,0.1818181818181818,Middlesex 2,4,0.5643743831509161,159.0,62.0,0.5481541375697255
matthew_tocks,0.4844961240310077,0.884433962264151,0.36363636363636365,Roton Point 2,4,0.5604006592845414,158.0,62.0,0.6184222552698995
david_todrin,0.7131782945736433,0.0,0.9090909090909091,Roxbury 2,1,0.5572734965780161,157.0,62.0,0.36350054801129833
hadi_tabbaa,0.5193798449612403,0.9091981132075473,0.2727272727272727,CC of Darien 2,8,0.556447917506363,156.0,61.0,0.5756127339122725
jeff_grills,0.6317829457364341,0.9198113207547169,0.0,Woodway 2,4,0.5543150595576447,155.0,61.0,0.5736697988353731
michael_house,0.5232558139534884,0.2830188679245283,0.8181818181818182,Wilton Riding,4,0.5484885173765646,154.0,60.0,0.6185550925081695
matt_greene,0.49612403100775193,0.5188679245283019,0.8181818181818182,Wilton Riding,3,0.5471931127825298,153.0,60.0,0.376849001913449
mack_reid,0.4883720930232558,0.7075471698113207,0.5454545454545454,Four Seasons 3,2,0.5438971796472687,152.0,60.0,0.4901959648908694
dave_sherwood,0.5813953488372093,0.7075471698113207,0.2727272727272727,CC of Darien 2,2,0.5426121381178424,151.0,59.0,0.5661956175558633
carter_sullivan,0.6046511627906976,0.8490566037735849,0.0,Woodway 2,2,0.5392192631669925,150.0,59.0,0.6487661277097434
andrew_calderwood,0.4883720930232558,0.4245283018867924,0.7272727272727273,Tokeneke 2,2,0.5390909802486804,149.0,58.0,0.5930888837087416
